paper_id,primary_category,year,total_token_count,matched_token_count,coverage,mean_happiness
2604.21811,cs.LG,2026,167,137,0.8203592814371258,5.461313868613139
2604.21809,cs.LG,2026,169,139,0.8224852071005917,5.393237410071944
2604.21961,cs.LO,2026,197,151,0.766497461928934,5.194569536423844
2604.21801,cs.CV,2026,203,126,0.6206896551724138,5.4684126984127
2604.21794,cs.AI,2026,153,105,0.6862745098039216,5.671904761904765
2604.21793,cs.AI,2026,196,163,0.8316326530612245,5.385582822085896
2604.21769,cs.AI,2026,185,143,0.772972972972973,5.429370629370632
2604.21764,cs.AI,2026,118,91,0.7711864406779662,5.626593406593408
2604.21751,cs.CL,2026,182,147,0.8076923076923077,5.397210884353743
2604.21748,cs.CL,2026,120,82,0.6833333333333333,5.353902439024394
2604.21744,cs.SE,2026,205,151,0.7365853658536585,5.493907284768213
2604.21743,cs.AI,2026,175,129,0.7371428571428571,5.6038759689922495
2604.21733,cs.AI,2026,225,173,0.7688888888888888,5.475144508670524
2604.21725,cs.CL,2026,233,168,0.721030042918455,5.382738095238098
2604.21711,cs.LG,2026,252,184,0.7301587301587301,5.245217391304351
2604.217,cs.CR,2026,243,159,0.654320987654321,5.204465408805034
2604.21694,cs.CV,2026,180,132,0.7333333333333333,5.508181818181822
2604.21677,cs.LG,2026,235,146,0.6212765957446809,5.339863013698633
2604.21667,cs.CL,2026,182,106,0.5824175824175825,5.634622641509437
2604.21654,cs.CV,2026,214,146,0.6822429906542056,5.5858219178082225
2604.21651,cs.LG,2026,176,137,0.7784090909090909,5.496934306569346
2604.21649,cs.AI,2026,207,130,0.6280193236714976,5.529307692307695
2604.2164,cs.LG,2026,233,169,0.7253218884120172,5.4846153846153864
2604.21632,cs.AI,2026,232,183,0.7887931034482759,5.269945355191259
2604.21629,cs.LG,2026,137,99,0.7226277372262774,5.650808080808081
2604.21611,cs.CL,2026,183,128,0.6994535519125683,5.480390625000005
2604.21603,cs.LO,2026,147,102,0.6938775510204082,5.4397058823529445
2604.21602,cs.NE,2026,195,152,0.7794871794871795,5.460657894736848
2604.21598,cs.SE,2026,229,167,0.7292576419213974,5.287724550898207
2604.21584,cs.AI,2026,258,209,0.810077519379845,5.519617224880387
2604.21579,cs.SE,2026,217,164,0.7557603686635944,5.50024390243903
2604.21571,cs.AI,2026,171,103,0.6023391812865497,5.4173786407766995
2604.21567,cs.LG,2026,202,138,0.6831683168316832,5.302826086956526
2604.21556,cs.AI,2026,177,135,0.7627118644067796,5.493037037037043
2604.21554,cs.AI,2026,204,158,0.7745098039215687,5.443797468354432
2604.21549,cs.AI,2026,199,160,0.8040201005025126,5.375125000000003
2604.21958,cs.SE,2026,111,91,0.8198198198198198,5.440109890109891
2604.21537,cs.AI,2026,212,144,0.6792452830188679,5.305347222222228
2604.21536,cs.IR,2026,106,75,0.7075471698113207,5.713333333333334
